"","Name","Region","State.Abbreviation","County.FIPS.Code","Population","Premature.death","Life.expectancy","Child.mortality","Poor.or.fair.health","Unemployment","Income.inequality","Median.income","Homeownership","Food.insecurity","Severe.housing.problems","School.funding.adequacy","High.school.completion","Reading.scores","Free.or.reduced.lunch.eligibility","Adult.smoking","Excessive.drinking","Physical.inactivity","Adult.obesity","Uninsured","Uninsured.children","Primary.care.physicians","Not.proficient.in.English","Rural"
"3005","Greenbrier County","South","WV",25,34319,10903.99091,74.44263272,5915190.95,24.6,8.0612245,4.609729913,40016,72.2855662,12.9,10.8276088,359431.9,85.6539921,3.118224603,51.5290202,24.7,14.219162,31.3,40.6,8.912985,3.4608645,0.001327102,0.2084151,69.735062
"3006","Hampshire County","South","WV",27,23190,12204.69163,75.22962847,8677542.52,25.2,5.4761685,3.907272259,53333,80.4582651,13.9,11.3812726,67467.58,86.7657302,3.119104438,67.2506739,26,15.2335432,33.3,39.9,10.3613484,4.5584726,0.0002589,0,100
"3007","Hancock County","South","WV",29,28571,10681.37438,74.44147438,4862566.197,23.6,10.0297007,3.958444737,52305,73.0672136,11.8,10.909807,254555.7,89.3383883,3.060255254,44.391468,24.8,14.8463933,31.4,37.3,8.4727173,3.2510215,0.000624783,0.1727116,30.3103403
"3008","Hardy County","South","WV",31,13633,10494.70055,75.47190239,5665401.394,25.8,7.1611253,3.515813754,47469,75.105343,10.9,4.6195652,138344.6,80.9197457,2.845515263,50.2200704,24.2,14.5841748,33.6,37.2,10.3431975,4.2582897,0.00014518,4.3552124,80.5204991
"3009","Harrison County","South","WV",33,66870,10164.31803,75.16806209,4701048.16,22.9,7.9466119,5.015833101,52075,73.7147687,12.1,10.1330417,275545.1,88.7441668,2.826845638,45.2810581,23.6,15.1456174,31.6,35.8,7.7205882,2.99389,0.001189485,0.0422999,37.0497402
"3010","Jackson County","South","WV",35,28453,9176.96578,76.05407567,5735824.32,23.2,8.5758998,5.357246338,52123,76.9930866,13.3,10.6440072,303472.8,88.7073968,3.199134197,45.6449098,24.3,14.9169608,29.9,41.5,7.4689904,2.9987171,0.000349944,0.0550176,71.4388415
"3011","Jefferson County","South","WV",37,57486,8096.158527,77.40484057,2977844.834,19.6,5.9367105,4.13044581,85779,78.6085795,7.4,12.6106724,503129.2,90.5474397,2.95801883,45.599732,19.5,15.9476915,25.4,35.6,7.3725657,3.6524501,0.000524971,0.4900414,48.373771
"3012","Kanawha County","South","WV",39,176253,13389.40352,72.539393,6483230.74,23.2,8.8997585,5.148716102,47830,70.2714463,12.6,11.5566186,282757.6,89.2882172,2.939160014,51.8384522,24.1,15.6441913,30.2,39.4,8.0688042,2.8217387,0.001358604,0.2713079,25.188151
"3013","Lewis County","South","WV",41,15805,11419.05839,73.03894022,11051351.95,25.9,10.8568723,4.933816037,53471,73.9493202,15.3,12.6235741,279395.3,87.1781444,2.379311064,58.4949573,27,15.2942464,33.4,41,8.1836652,3.3997655,0.000628654,0.1391742,68.9897386
"3014","Lincoln County","South","WV",43,20043,15465.33064,70.7952788,7151895.252,29,9.9958865,5.098658644,40741,78.4207354,16.8,10.9137056,38462.99,80.1479148,2.665254235,61.8357488,27.8,13.923472,36.1,42.1,8.2517656,3.3464567,0.000440982,0.3034355,100
"3015","Logan County","South","WV",45,31688,18495.67757,68.50746792,9058654.79,31.3,12.1724354,6.293767908,38571,72.0417961,18.6,11.4954955,200308.4,80.1466537,2.946025023,57.781006,28.7,13.2920436,38.8,44.8,9.01405,3.1043791,0.000562166,0.016257,70.7508913
"3016","McDowell County","South","WV",47,16916,19791.73208,67.65859414,6857769.853,37.5,12.5949084,5.599239826,26582,78.0110349,22.5,10.4409857,-234620.8,72.2351878,2.576931003,73.2850741,33.7,12.002876,43.6,46.2,11.8423025,3.1634938,0.000226963,0.2280435,85.9901416
"3017","Marion County","South","WV",49,55962,9195.81306,75.63322743,4002579.44,24.2,8.654339,4.518896275,58878,74.3932618,12.2,10.8326068,536902.1,90.2285183,2.965449115,50.3829253,24.7,13.249196,34.6,40.2,7.8010793,2.8275622,0.000517192,0.3447237,41.4832146
"3018","Marshall County","South","WV",51,30103,9529.471712,75.7187195,5514783.863,23,9.9191771,5.370517279,54028,80.7773279,12.3,8.1357318,813478.5,92.4204521,2.987387358,46.3452915,23.5,14.7250001,31.2,41.1,6.9475144,2.7658165,0.000327536,0.0647007,48.9926602
"3019","Mason County","South","WV",53,26335,12334.48592,73.61638089,6769564.04,25.6,8.4685207,4.913361118,44307,82.5922779,12.8,9.9539171,317150.5,86.2710729,2.890246898,51.5628971,25.4,15.104976,35.2,43,6.9520582,2.8301887,0.000452557,0,65.0087835
"3020","Mercer County","South","WV",55,58258,14322.26649,71.79506711,8192692.119,26.7,9.3906571,4.274811697,42095,68.9492985,16,11.4348875,-15018.16,84.2677944,2.682496143,58.9869095,26.5,13.6080884,33.3,39.5,8.8468469,2.7635119,0.000578645,0.8032559,40.7314018
